Zone_id,Demand (MW),Area,Flag_MD,State
APS_MD,2872.276217,1,1,MD
BGE,8110.202116,1,1,MD
PEPCO,6294.433941,1,1,MD
DPL_MD,2558.694511,1,1,MD
APS,8616.828651,1,0,NMD
DPL,2558.694511,1,0,NMD
