Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MW/yr),Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
APS_MD,Battery,8000.0,2000.0,0.9,0.9,154824.58,0.1,0,1,1,1
DPL_MD,Battery,8000.0,2000.0,0.9,0.9,154824.58,0.1,0,1,1,1
BGE,Battery,8000.0,2000.0,0.9,0.9,154824.58,0.1,0,1,1,1
PEPCO,Battery,8000.0,2000.0,0.9,0.9,154824.58,0.1,0,1,1,1
