Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,3,11,0.698515987,0.772011766,0.694149223,0.692628578,0.692628578,0.772011766,3630.5
1,3,12,0.71306536,0.773754439,0.705513774,0.709197772,0.709197772,0.773754439,3933.4
1,3,13,0.71775667,0.77198174,0.712796279,0.717386686,0.717386686,0.77198174,4539
1,3,14,0.704409017,0.758923106,0.701972079,0.720909889,0.720909889,0.758923106,5036.1
1,3,15,0.694828733,0.747421971,0.69656345,0.722584578,0.722584578,0.747421971,5095.6
1,3,16,0.698584617,0.734674916,0.688526864,0.723512253,0.723512253,0.734674916,5082.8
1,3,17,0.705023843,0.755123818,0.690876425,0.739023461,0.739023461,0.755123818,5238.7
1,3,18,0.757208486,0.797145666,0.730833567,0.773231226,0.773231226,0.797145666,5759.39
1,3,19,0.760834627,0.805274566,0.726285701,0.772330889,0.772330889,0.805274566,6195.7
1,3,20,0.749248075,0.804500985,0.713686452,0.760202777,0.760202777,0.804500985,6222.6
1,3,21,0.733717477,0.796136408,0.697723616,0.747518334,0.747518334,0.796136408,5964.6
1,3,22,0.711582035,0.774920914,0.671948598,0.72401892,0.72401892,0.774920914,5663.19
1,3,23,0.681334887,0.745302253,0.656743496,0.696946638,0.696946638,0.745302253,5770.1
1,3,24,0.658593411,0.72760361,0.632036575,0.673837021,0.673837021,0.72760361,5714.9
1,4,1,0.644283532,0.714722178,0.614020111,0.662846175,0.662846175,0.714722178,5579.2
1,4,2,0.639832565,0.709224417,0.601935458,0.657285141,0.657285141,0.709224417,5454.2
1,4,3,0.638512305,0.709395219,0.589031142,0.657546676,0.657546676,0.709395219,5142.9
1,4,4,0.644854401,0.717015652,0.567899529,0.665087676,0.665087676,0.717015652,4706.3
1,4,5,0.663663599,0.732270298,0.608162286,0.679538846,0.679538846,0.732270298,4874.6
1,4,6,0.698028069,0.764389857,0.640794726,0.708199247,0.708199247,0.764389857,5273.2
1,4,7,0.745259788,0.802919467,0.691223689,0.753247953,0.753247953,0.802919467,5604.9
1,4,8,0.77252639,0.829903739,0.740566286,0.777016648,0.777016648,0.829903739,5896
1,4,9,0.771367352,0.820614073,0.752403234,0.766731355,0.766731355,0.820614073,5896.6
1,4,10,0.737042444,0.790692299,0.762427319,0.730492593,0.730492593,0.790692299,5870.2
1,4,11,0.699936355,0.762396542,0.717246049,0.699071724,0.699071724,0.762396542,5449
1,4,12,0.679585129,0.740384728,0.699645535,0.672862416,0.672862416,0.740384728,5180.9
1,4,13,0.660802163,0.725950817,0.68378043,0.654436279,0.654436279,0.725950817,5094.6
1,4,14,0.648242467,0.710607077,0.671757154,0.630665078,0.630665078,0.710607077,4824.5
1,4,15,0.641681865,0.699726539,0.662292784,0.618638572,0.618638572,0.699726539,5122.3
1,4,16,0.64866587,0.70743705,0.659799641,0.626387114,0.626387114,0.70743705,5366
1,4,17,0.681207129,0.725751367,0.68464302,0.66902209,0.66902209,0.725751367,5757.4
1,4,18,0.737453084,0.767938603,0.726199478,0.735784119,0.735784119,0.767938603,6075.6
1,4,19,0.748008214,0.779450173,0.725718313,0.753201479,0.753201479,0.779450173,6092.5
1,4,20,0.744881052,0.785612438,0.712306345,0.755915017,0.755915017,0.785612438,5868.8
1,4,21,0.732512355,0.781950381,0.691532774,0.747822015,0.747822015,0.781950381,5937.3
1,4,22,0.710599391,0.761550506,0.672203428,0.725504976,0.725504976,0.761550506,5742.8
1,4,23,0.678461823,0.739542432,0.647539072,0.698294181,0.698294181,0.739542432,5509.4
1,4,24,0.6521064,0.712277886,0.624412834,0.675664803,0.675664803,0.712277886,5420.2
1,5,1,0.635405562,0.70032223,0.611678589,0.662110779,0.662110779,0.70032223,5509.4
1,5,2,0.62921462,0.687095355,0.598536066,0.652655426,0.652655426,0.687095355,5568.5
1,5,3,0.624419798,0.687243908,0.595286468,0.635961388,0.635961388,0.687243908,5376.5
1,5,4,0.625080567,0.692170491,0.596955383,0.626055639,0.626055639,0.692170491,5250
1,5,5,0.636068599,0.705311228,0.608924953,0.627412522,0.627412522,0.705311228,5433.3
1,5,6,0.661521918,0.724540986,0.639207649,0.643105301,0.643105301,0.724540986,5496.5
1,5,7,0.69673475,0.762788944,0.674767266,0.676040247,0.676040247,0.762788944,5305.1
1,5,8,0.711891859,0.782724356,0.704049454,0.689302437,0.689302437,0.782724356,5407.2
1,5,9,0.711932696,0.781887377,0.716014639,0.690748625,0.690748625,0.781887377,5522.99
1,5,10,0.702667766,0.766762579,0.717462701,0.68341494,0.68341494,0.766762579,5449.8
1,5,11,0.689061193,0.762899301,0.711182165,0.669606899,0.669606899,0.762899301,5276.9
1,5,12,0.674065448,0.743644636,0.696715983,0.65612532,0.65612532,0.743644636,5515.2
1,5,13,0.669004759,0.729426024,0.694624541,0.641063825,0.641063825,0.729426024,5462.8
1,5,14,0.661613801,0.714530407,0.689855274,0.629924214,0.629924214,0.714530407,5142.39
1,5,15,0.653748678,0.704978286,0.68175256,0.623102436,0.623102436,0.704978286,5045.8
1,5,16,0.655431084,0.694997537,0.68115631,0.622424222,0.622424222,0.694997537,5227.7
1,5,17,0.669745642,0.709390986,0.683126273,0.641017805,0.641017805,0.709390986,5245.4
1,5,18,0.704319686,0.743879722,0.706313889,0.66776089,0.66776089,0.743879722,5478.29
1,5,19,0.706011449,0.75031911,0.693799949,0.667201369,0.667201369,0.75031911,5432.3
1,5,20,0.698961226,0.746074554,0.679553341,0.656836568,0.656836568,0.746074554,5338.7
1,5,21,0.686792745,0.741020879,0.657711305,0.639717876,0.639717876,0.741020879,5404.5
1,5,22,0.664739971,0.723727633,0.632384936,0.614546508,0.614546508,0.723727633,5389.1
1,5,23,0.629270488,0.691581199,0.607199591,0.582429427,0.582429427,0.691581199,5036.99
1,5,24,0.59632908,0.665026639,0.571616226,0.555041389,0.555041389,0.665026639,4753
1,6,1,0.571779708,0.646155122,0.55737108,0.535529017,0.535529017,0.646155122,4302.1
1,6,2,0.559405624,0.643770587,0.538858471,0.526308316,0.526308316,0.643770587,4025.2
1,6,3,0.556751351,0.647661134,0.540584016,0.523515952,0.523515952,0.647661134,4002.3
1,6,4,0.562621834,0.651933943,0.541265575,0.529345583,0.529345583,0.651933943,3690
1,6,5,0.580917874,0.665715754,0.56079093,0.547366889,0.547366889,0.665715754,3573.6
1,6,6,0.615987351,0.695779486,0.592411901,0.583008995,0.583008995,0.695779486,3689.8
1,6,7,0.660163515,0.749253837,0.640925155,0.634501986,0.634501986,0.749253837,3670.3
1,6,8,0.682727888,0.774412053,0.674330674,0.658642252,0.658642252,0.774412053,3553.09
1,6,9,0.679794277,0.782854008,0.681536456,0.650895989,0.650895989,0.782854008,3370.29
1,6,10,0.664460208,0.776380067,0.666274907,0.625497941,0.625497941,0.776380067,3439.5
1,6,11,0.652049682,0.767232654,0.658065329,0.596956234,0.596956234,0.767232654,3769.5
1,6,12,0.635232713,0.751334571,0.650346597,0.573675525,0.573675525,0.751334571,3779.9
1,6,13,0.619451845,0.740402841,0.639068085,0.560820446,0.560820446,0.740402841,3678.3
1,6,14,0.608914724,0.736969473,0.63266388,0.54829069,0.54829069,0.736969473,3379.6
1,6,15,0.612355396,0.73133576,0.638691228,0.550137837,0.550137837,0.73133576,3224.7
1,6,16,0.631534256,0.7453373,0.64710394,0.575742289,0.575742289,0.7453373,3260.5
1,6,17,0.65874173,0.763257936,0.665093734,0.614595489,0.614595489,0.763257936,3259.4
1,6,18,0.696266257,0.794495821,0.689728315,0.659059387,0.659059387,0.794495821,3797.8
1,6,19,0.69520123,0.802753192,0.673848413,0.662637495,0.662637495,0.802753192,3794.7
1,6,20,0.687289172,0.795029984,0.669378366,0.658869842,0.658869842,0.795029984,3652.5
1,6,21,0.673770371,0.783972245,0.645435391,0.646579296,0.646579296,0.783972245,3404
1,6,22,0.652673583,0.763127004,0.628158394,0.626951191,0.626951191,0.763127004,3348.59
1,6,23,0.622494781,0.737313736,0.60373188,0.597314136,0.597314136,0.737313736,3306.9
1,6,24,0.594283393,0.712973696,0.576629,0.572991616,0.572991616,0.712973696,3314.3
1,7,1,0.576504341,0.700310319,0.563684313,0.557969989,0.557969989,0.700310319,3280.7
1,7,2,0.570568206,0.69145007,0.561657356,0.555232073,0.555232073,0.69145007,3170.3
1,7,3,0.578578954,0.691429889,0.566036796,0.562127893,0.562127893,0.691429889,3049.4
1,7,4,0.592229057,0.696453243,0.571454742,0.574422768,0.574422768,0.696453243,2927.2
1,7,5,0.60879278,0.710814108,0.592101171,0.600837112,0.600837112,0.710814108,2891.29
1,7,6,0.637399351,0.734853791,0.626700833,0.637239446,0.637239446,0.734853791,2532.1
1,7,7,0.676392173,0.770375511,0.67470333,0.674152549,0.674152549,0.770375511,2673.6
1,7,8,0.706679308,0.797155707,0.70818612,0.701728308,0.701728308,0.797155707,2856.1
1,7,9,0.716109572,0.811016569,0.724585183,0.71166504,0.71166504,0.811016569,2883.1
1,7,10,0.708852185,0.815326591,0.722820912,0.70592608,0.70592608,0.815326591,3084.3
1,7,11,0.704786618,0.811817321,0.718061691,0.692021671,0.692021671,0.811817321,3898.6
1,7,12,0.698159939,0.810022274,0.709771918,0.681727265,0.681727265,0.810022274,4069
1,7,13,0.693194112,0.802799068,0.707580371,0.672564886,0.672564886,0.802799068,4193.1
1,7,14,0.686407912,0.795481551,0.700487483,0.665933791,0.665933791,0.795481551,4201.9
