Technology,Zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24
Landfill_NG,PL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,PS_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,PS_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PS_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landfill_NG,PS_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,AEP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,AEP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,AEP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,AEP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AEP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,AP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NuC,AP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,AP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landfill_NG,AP_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,AEP_IN,Existing,0,96.30000000000001,0.0,0.0,0.0,0.0,10.700000000000001,0.0,10.700000000000001,0.0,0.0,10.700000000000001,0.0,10.700000000000001,0.0,0.0,10.700000000000001,0.0,10.700000000000001,0.0,10.700000000000001,0.0,10.700000000000001,0.0,10.700000000000001,0.0
WindOn,AEP_IN,Existing,0,4446.9373562992005,1170.1053154728,1005.8180557866,767.4729116019,535.2159176168,355.293299116,221.0240749689,101.46744896610001,47.7411995011,47.7411995011,47.7411995011,41.240643367000004,35.35869696660001,0.0,35.35869696660001,35.35869696660001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AEP_IN,Existing,0,728.1965243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.54251985,86.22571019999998,110.61955904999999,122.38520734999999,123.75444514999998,87.27913075,91.09538549999998,56.037270449999994,3.2572959999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landfill_NG,AEP_IN,Existing,0,861.6000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001,35.90000000000001
Bio,AEP_IN,Existing,0,247.2000000000001,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
NG,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,AEP_IN,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,CE_IA,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,CE_IA,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,AEP_KY,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,AEP_KY,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AEP_KY,Existing,0,4.50515285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29413257500000006,0.5334549000000001,0.684372975,0.757163825,0.765634925,0.539972125,0.56358225,0.346687275,0.020152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landfill_NG,AEP_KY,Existing,0,172.79999999999995,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
NGCT,PE_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,PE_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,PE_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PE_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,BC_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,BC_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,BC_MD,Existing,0,90.51261634999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.909390825,10.717593899999999,13.749675224999999,15.212109574999998,15.382301674999997,10.848530875,11.322879749999998,6.965262524999999,0.40487199999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,BC_MD,Existing,0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landfill_NG,BC_MD,Existing,0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bio,BC_MD,Existing,0,52.80000000000002,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
MSW,BC_MD,Existing,0,3175.200000000001,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3
NGCT,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,DPL_MD,Existing,0,618.02505915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.349641425,73.18031309999998,93.88352902499999,103.86911017499999,105.03119107499998,74.07435787499999,77.31323774999998,47.55919072499999,2.7644879999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,DPL_MD,Existing,0,16179.220286730999,57.35615888900003,836.1683115554999,822.0583308375001,814.9966124085,12.816737372500029,815.768987478,821.4097506190001,827.6910202945,795.5145646405,775.440198277,768.3813847185,766.496327002,770.3452676205,2.645011315000019,797.796791829,831.7948669405,906.375811883,938.1003432895,941.012224975,931.7221902245,120.14194090850003,906.3010797165,885.2989262965,33.58744763999999
Landfill_NG,DPL_MD,Existing,0,129.60000000000005,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999,5.399999999999999
Bio,DPL_MD,Existing,0,91.19999999999996,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Hydro,AP_MD,Existing,0,220.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0
WindOn,AP_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AP_MD,Existing,0,45.87064720000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9948044,5.4315408,6.9681612,7.7093044,7.795555599999999,5.497898,5.7382919999999995,3.5299067999999996,0.20518399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NuC,PEP_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,PEP_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,PEP_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PEP_MD,Existing,0,243.68781325000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909898375000003,28.8550605,37.018356375,40.955679625,41.413889125000004,29.207583125000003,30.48467625,18.752629875,1.0900400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,PEP_MD,Existing,0,12404.799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,775.3,0.0,775.3
NuC,AEP_MI,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,AEP_MI,Existing,0,309.59999999999997,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
SolarPV,AEP_MI,Existing,0,18.839730099999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23000895,2.2308114,2.8619233499999996,3.16632145,3.2017460499999997,2.25806525,2.3567984999999996,1.4497831499999998,0.08427199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,AEP_MI,Existing,0,4328.9653213499205,113.6840976486,88.851092112,67.2957695848,63.232477843000005,62.49821686660001,79.4969660804,100.29223590099998,120.50180117279999,115.81452848803625,119.10052176810088,140.9389100899541,155.9701623921931,169.35019709823342,202.8570641545286,190.62116181268794,221.06422543855385,290.3721908178316,337.2887420612,337.5641492264,328.2386135418,302.0857588404,284.8039017898,245.469826009,191.57271061199998
Landfill_NG,AEP_MI,Existing,0,211.20000000000007,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
NGCT,AE_NJ,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,AE_NJ,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,AE_NJ,Existing,0,1116.86834745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91813927500002,132.24831930000002,169.66228207500004,187.70779552500002,189.80785822500002,133.86399862500002,139.71716325,85.94692717500001,4.995864000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,AE_NJ,Existing,0,6806.213713841145,0.0,409.70000000000005,0.0,0.0,0.0,0.0,409.70000000000005,409.70000000000005,0.0,409.70000000000005,0.0,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,409.70000000000005,251.01371384114736,409.70000000000005
Landfill_NG,AE_NJ,Existing,0,580.8,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003,24.200000000000003
